ucs,crs
74.86007814,0.431344508
74.46703724,0.425770016
76.04527679,0.438141081
75.6460132,0.432478754
77.24923974,0.445044747
76.84365493,0.439293199
78.36960998,0.451468624
78.06025795,0.446215018
79.609253,0.456798105
80.97670867,0.466415299
80.55155338,0.460387569
82.14998465,0.471306793
83.45059847,0.478733041
84.77180384,0.486276302
86.11392678,0.49393842
87.47729846,0.501721268
88.86225529,0.509626748
90.26913902,0.517656793
91.69829679,0.525813364
93.15008125,0.534098457
94.62618094,0.54463307
94.25265858,0.538295338
96.12296884,0.551062336
97.65716108,0.579731998
97.65235596,0.571875952
97.6461783,0.561931547
97.26073496,0.555392517
99.2004981,0.58429344
99.19003899,0.567457896
100.762559,0.579779453
100.3634032,0.570803264
102.4890443,0.585103057
104.1116699,0.59432236
105.7599852,0.603686929
107.2953642,0.614792626
108.9940844,0.624479739
110.7196989,0.63431949
112.4726338,0.644314282
114.2533214,0.65446656
116.0622012,0.664778805
117.8997195,0.675253536
119.9215223,0.684115447
121.8201421,0.69489486
121.1805448,0.685914369
123.7488212,0.705844122
125.5453546,0.718829147
125.5268235,0.690000437
127.533012,0.730155535
128.545839,0.747450027
129.5457638,0.731610023
130.5773291,0.753331106
131.5921313,0.735930656
132.8127994,0.757290424
132.1136296,0.74459529
134.9155163,0.769222835
134.2071639,0.759281764
137.0515238,0.781343262
136.3319566,0.771245552
139.0392255,0.792621349
138.4903895,0.78339785
143.4746495,0.8146146
145.7461668,0.827450251
148.0536471,0.840488151
150.5925443,0.851518572
152.9760366,0.863812531
152.1714341,0.85043602
152.7573066,0.834029052
155.1976057,0.880847455
155.179061,0.852138829
157.654723,0.894726719
160.1507419,0.908824675
162.6862782,0.923144768
165.2619575,0.937690499
167.8784155,0.952465423
170.5362978,0.967473151
171.8991016,1.003994051
173.2593986,1.019792833
173.2386956,0.986555692
172.5548624,0.975075437
175.9925764,1.01983457
175.9777318,0.996258033
178.7676137,1.017890386
178.0619559,1.006045499
181.5953427,1.029906344
184.7094295,1.043422656
187.6337835,1.059863572
186.6486423,1.046166398
190.6044364,1.076563542
189.6036982,1.062650546
193.6221212,1.093526649
192.6055392,1.07939443
196.6875826,1.110757039
195.6549059,1.096402142
199.801577,1.128258924
198.7525507,1.113677841
202.7292864,1.192364355
202.7136115,1.167071819
202.6993627,1.14454447
201.899238,1.131225747
205.9288011,1.194739576
205.9085366,1.162578734
205.0957442,1.149050151
209.1744001,1.190139972
209.1641079,1.174012184
212.7584351,1.20106798
211.6413809,1.185545947
216.1268662,1.219992868
214.9921265,1.204226259
219.5486268,1.23921595
218.3959218,1.223200911
221.005835,1.271864802
222.7234165,1.242487255
224.495372,1.276884764
226.2400729,1.247391266
228.3419195,1.288609272
227.1398534,1.267007166
231.9570712,1.308913524
230.7392176,1.291997747
235.3179099,1.322640653
239.0435068,1.343481127
242.828088,1.364649979
246.6725873,1.386152383
250.5779535,1.407993594
254.5451502,1.43017895
258.5751563,1.452713875
262.6689662,1.475603877
266.8275901,1.49885455
271.052054,1.522471577
275.3434005,1.546460731
279.7026883,1.570827875
284.1309932,1.595578965
288.6294079,1.620720051
293.1990422,1.646257278
297.8410239,1.672196889
302.5564983,1.698545222
307.346629,1.725308718
312.2125979,1.75249392
317.566574,1.775493346
322.594347,1.803469293
320.9006168,1.780162111
327.2776362,1.836646724
332.8899551,1.860750558
331.1421695,1.836703101
338.1603307,1.890069878
336.3848738,1.865643512
343.0696003,1.924840453
341.7105816,1.895039929
348.9527276,1.950101726
347.120607,1.924899537
354.477412,1.980828927
352.6162849,1.955229634
360.0895642,2.012040288
358.1989714,1.986037634
365.790569,2.043743437
363.870044,2.017331067
371.5818332,2.075946124
369.6309021,2.049117582
376.9710025,2.105910804
375.4829672,2.081404948
383.4408784,2.141881719
381.4276833,2.114201056
389.0020432,2.172798129
387.4665172,2.147513924
395.6784053,2.209911542
393.600959,2.181351694
401.9428593,2.244732493
399.8325225,2.215722635
407.7666315,2.26827395
410.9992078,2.31296629
414.2544985,2.35394662
414.2108219,2.286121161
420.7893891,2.354042961
419.1018726,2.286191334
424.0745243,2.322190444
427.4423909,2.377193937
434.2097382,2.414650709
441.0842274,2.452697677
448.0675548,2.491344141
455.1614435,2.530599545
462.367644,2.570473486
469.6879344,2.61097571
477.124121,2.652116115
484.6780387,2.693904758
492.3515514,2.736351853
500.1465526,2.779467775
508.0649657,2.823263062
516.1087446,2.86774842
524.279874,2.91293472
532.5803704,2.958833008
541.0122817,3.005454503
549.5776886,3.052810599
559.0021187,3.092875156
567.8523441,3.141608715
564.870926,3.101008055
576.0961859,3.199403161
585.9753684,3.241391574
594.4823127,3.301021671
603.8942671,3.353034935
611.0337126,3.36623469
618.2749471,3.405937454
623.1588096,3.446073229
633.0158762,3.486753317
643.0469414,3.555526402
640.508612,3.5141518
653.2185965,3.597498559
663.5604747,3.654183325
674.0613491,3.704533644
